f3_spf4_perturbaciones_cobertura_id_;conglomerado_id_;f3_spf4_perturbaciones_cobertura_tipo_perturbacion;f3_spf4_perturbaciones_cobertura_tipo_perturbacion_code_id_;f3_spf4_perturbaciones_cobertura_severidad_perturbacion;f3_spf4_perturbaciones_cobertura_severidad_perturbacion_code_id;f3_spf4_perturbaciones_cobertura_tipo_cobertura;f3_spf4_perturbaciones_cobertura_tipo_cobertura_code_id_;f3_spf4_perturbaciones_cobertura_porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
7000448;7000001;VI;163;FP;166;-1;-1;;;052014;2016;2016;4;;;
8000331;8000001;CN;155;MP;167;BT;216;100;sin observaciones;037611;2016;2016;4;;;
8000337;8000001;SP;162;MP;167;-1;-1;;sin observaciones;037611;2016;2016;4;;;
10000342;10000001;CN;155;NP;168;BI;217;50;;146634;2016;2016;4;;;
10000348;10000001;CN;155;NP;168;RA;223;50;;146634;2016;2016;4;;;
11000326;11000001;SP;162;NP;168;BT;216;100;Sin observaciones;042013;2016;2016;4;;;
12000400;12000001;FU;157;MP;167;RA;223;50;;158621;2016;2016;4;;;
12000406;12000001;CA;153;MP;167;HE;219;50;;158621;2016;2016;4;;;
13000331;13000001;SP;162;NP;168;BT;216;100;Sin Observaciones;037724;2016;2016;4;;;
14000353;14000001;CA;153;FP;166;MA;220;100;Sin observaciones;186943;2016;2016;4;;;
14000359;14000001;CL;154;FP;166;-1;;;Sin observaciones;186943;2016;2016;4;;;
15000412;15000001;CN;155;FP;166;AB;214;20;;052321;2016;2016;4;;;
15000418;15000001;SP;162;FP;166;BT;216;60;;052321;2016;2016;4;;;
15000424;15000001;-1;-1;-1;-1;HE;219;5;;052321;2016;2016;4;;;
15000430;15000001;-1;-1;-1;-1;MA;220;15;;052321;2016;2016;4;;;
18000355;18000001;CA;153;MP;167;AB;214;10;;086034;2016;2016;4;;;
18000361;18000001;CN;155;MP;167;CU;218;10;;086034;2016;2016;4;;;
18000367;18000001;EA;156;FP;166;HE;219;20;;086034;2016;2016;4;;;
18000373;18000001;PC;160;MP;167;MA;220;40;;086034;2016;2016;4;;;
18000379;18000001;VI;163;MP;167;RA;223;20;;086034;2016;2016;4;;;
19000411;19000001;CN;155;MP;167;AB;214;50;;090512;2016;2016;4;;;
19000417;19000001;PC;160;MP;167;BT;216;30;;090512;2016;2016;4;;;
19000423;19000001;SP;162;MP;167;HE;219;5;;090512;2016;2016;4;;;
19000429;19000001;-1;-1;-1;-1;MA;220;15;;090512;2016;2016;4;;;
20000292;20000001;CN;155;NP;168;BI;217;80;no;071442;2016;2016;4;;;
20000298;20000001;PC;160;MP;167;RA;223;20;no;071442;2016;2016;4;;;
21000358;21000001;SP;162;NP;168;BT;216;100;Sin observaciones;002343;2016;2016;4;;;
24000336;24000001;CN;155;MP;167;BT;216;100;Sin observaciones;002123;2016;2016;4;;;
25000346;25000001;CN;155;MP;167;BT;216;100;Sin Observacion;003641;2016;2016;4;;;
25000352;25000001;SP;162;NP;168;-1;-1;;Sin Observacion;003641;2016;2016;4;;;
26000304;26000001;CN;155;NP;168;BT;216;100;Sin Observacion;005334;2016;2016;4;;;
26000310;26000001;SP;162;NP;168;-1;-1;;Sin Observacion;005334;2016;2016;4;;;
28000392;28000001;CA;153;FP;166;CU;218;60;;122232;2016;2016;4;;;
28000398;28000001;EA;156;FP;166;HE;219;30;;122232;2016;2016;4;;;
28000404;28000001;FU;157;MP;167;MA;220;5;;122232;2016;2016;4;;;
28000410;28000001;PC;160;MP;167;PA;221;5;;122232;2016;2016;4;;;
28000416;28000001;VI;163;MP;167;-1;-1;;;122232;2016;2016;4;;;
29000320;29000001;CN;155;FP;166;AB;214;20;;131144;2016;2016;4;;;
29000326;29000001;PC;160;MP;167;HE;219;5;;131144;2016;2016;4;;;
29000332;29000001;VI;163;FP;166;MA;220;15;;131144;2016;2016;4;;;
29000338;29000001;-1;-1;-1;-1;RA;223;60;;131144;2016;2016;4;;;
30000296;30000001;CN;155;FP;166;AR;215;100;Pared de piedras;105433;2016;2016;4;;;
31000282;31000001;CN;155;MP;167;BT;216;33,3;;100824;2016;2016;4;;;
31000288;31000001;-1;-1;-1;-1;AR;215;33,3;;100824;2016;2016;4;;;
31000294;31000001;-1;-1;-1;-1;RA;223;33,3;;100824;2016;2016;4;;;
32000365;32000001;CA;153;FP;166;BT;216;100;;087014;2016;2016;4;;;
32000371;32000001;CL;154;FP;166;-1;-1;;;087014;2016;2016;4;;;
32000377;32000001;PC;160;FP;166;-1;-1;;;087014;2016;2016;4;;;
32000383;32000001;EA;156;MP;167;-1;-1;;;087014;2016;2016;4;;;
33000383;33000001;CA;153;FP;166;AB;214;10;;109013;2016;2016;4;;;
33000389;33000001;EA;156;MP;167;CU;218;5;;109013;2016;2016;4;;;
33000395;33000001;FU;157;NP;168;HE;219;5;;109013;2016;2016;4;;;
33000401;33000001;PC;160;FP;166;MA;220;30;;109013;2016;2016;4;;;
33000407;33000001;PE;161;MP;167;PA;221;10;;109013;2016;2016;4;;;
33000413;33000001;VI;163;FP;166;RA;223;40;;109013;2016;2016;4;;;
34000374;34000001;CN;155;MP;167;AB;214;40;;113442;2016;2016;4;;;
34000380;34000001;VI;163;MP;167;HE;219;10;;113442;2016;2016;4;;;
34000386;34000001;-1;-1;-1;-1;MA;220;20;;113442;2016;2016;4;;;
34000392;34000001;-1;-1;-1;-1;RA;223;30;;113442;2016;2016;4;;;
35000309;35000001;CN;155;MP;167;BT;216;100;Sin observaciones;185711;2016;2016;4;;;
37000376;37000001;CA;153;MP;167;PN;222;30;;092531;2016;2016;4;;;
37000382;37000001;CL;154;MP;167;RA;223;30;;092531;2016;2016;4;;;
37000388;37000001;-1;-1;-1;-1;MA;220;40;;092531;2016;2016;4;;;
38000338;38000001;CA;153;FP;166;MA;220;80;Sin observaciones;177541;2016;2016;4;;;
38000344;38000001;PA;159;FP;166;PN;222;20;Sin bservaciones;177541;2016;2016;4;;;
39000450;39000001;CA;153;FP;166;AB;214;40;;095821;2016;2016;4;;;
39000456;39000001;CL;154;MP;167;HE;219;20;;095821;2016;2016;4;;;
39000462;39000001;CN;155;MP;167;MA;220;40;;095821;2016;2016;4;;;
39000468;39000001;EA;156;FP;166;-1;-1;;;095821;2016;2016;4;;;
39000474;39000001;PA;159;FP;166;-1;-1;;;095821;2016;2016;4;;;
39000480;39000001;PC;160;FP;166;-1;-1;;;095821;2016;2016;4;;;
39000486;39000001;PE;161;FP;166;-1;-1;;;095821;2016;2016;4;;;
39000492;39000001;VI;163;FP;166;-1;-1;;;095821;2016;2016;4;;;
40000340;40000001;SP;162;FP;166;PA;221;100;Sabana;088112;2016;2016;4;;;
42000354;42000001;CN;155;MP;167;BT;216;50;;096911;2016;2016;4;;;
42000360;42000001;-1;-1;-1;-1;RA;223;50;;096911;2016;2016;4;;;
43000331;43000001;CA;153;FP;166;RA;223;100;Sin observaciones;185244;2016;2016;4;;;
43000337;43000001;PA;159;FP;166;-1;;;Sin observaciones;185244;2016;2016;4;;;
44000409;44000001;CA;153;MP;167;HE;219;10;;057023;2016;2016;4;;;
44000415;44000001;CL;154;MP;167;MA;220;80;;057023;2016;2016;4;;;
44000421;44000001;EA;156;MP;167;PA;221;10;;057023;2016;2016;4;;;
44000427;44000001;PA;159;MP;167;-1;-1;;;057023;2016;2016;4;;;
44000433;44000001;PC;160;MP;167;-1;-1;;;057023;2016;2016;4;;;
44000439;44000001;VI;163;FP;166;-1;-1;;;057023;2016;2016;4;;;
45000187;45000001;CA;153;MP;167;BT;216;50;no;071511;2016;2016;4;;;
45000193;45000001;PC;160;MP;167;HE;219;30;no;071511;2016;2016;4;;;
45000199;45000001;EA;156;MP;167;RA;223;20;no;071511;2016;2016;4;;;
46000408;46000001;CA;153;FP;166;CU;218;40;;061922;2016;2016;4;;;
46000414;46000001;CL;154;FP;166;HE;219;10;;061922;2016;2016;4;;;
46000420;46000001;EA;156;FP;166;MA;220;30;;061922;2016;2016;4;;;
46000426;46000001;PA;159;MP;167;PA;221;20;;061922;2016;2016;4;;;
46000432;46000001;PC;160;FP;166;-1;-1;;;061922;2016;2016;4;;;
46000438;46000001;PE;161;MP;167;-1;-1;;;061922;2016;2016;4;;;
46000444;46000001;VI;163;FP;166;-1;-1;;;061922;2016;2016;4;;;
47000409;47000001;CA;153;FP;166;CU;218;100;;056941;2016;2016;4;;;
47000415;47000001;CL;154;FP;166;-1;-1;;;056941;2016;2016;4;;;
47000421;47000001;EA;156;FP;166;-1;-1;;;056941;2016;2016;4;;;
47000427;47000001;PC;160;MP;167;-1;-1;;;056941;2016;2016;4;;;
47000433;47000001;PE;161;FP;166;-1;-1;;;056941;2016;2016;4;;;
48000220;48000001;SP;162;NP;168;BT;216;100;no;139512;2016;2016;4;;;
49000300;49000001;CA;153;FP;166;RA;223;75;Sin observaciones;192833;2016;2016;4;;;
49000306;49000001;-1;;-1;;HE;219;25;Sin observaciones;192833;2016;2016;4;;;
50000341;50000001;CN;155;FP;166;BT;216;100;Presenta dos zonas con rastrojo alto, las cuales son especificadas en la gráfica de pendientes.;163832;2016;2016;4;;;
50000347;50000001;HV;158;FP;166;-1;;100;---;163832;2016;2016;4;;;
51000303;51000001;EA;156;MP;167;BT;216;90;;053512;2016;2016;4;;;
51000309;51000001;-1;-1;-1;-1;PA;221;10;;053512;2016;2016;4;;;
52000337;52000001;SP;162;NP;168;VA;;100;;053621;2016;2016;4;;;
53000314;53000001;SP;162;NP;168;BT;216;100;;049214;2016;2016;4;;;
54000435;54000001;EA;156;FP;166;PA;221;100;NA;105221;2016;2016;4;;;
55000428;55000001;CA;153;NP;168;MA;220;15;Si bien no se evidencio perturbación reciente, el tipo de cobertura y el estado sucesional secundario del bosque señala la intervención;109842;2016;2016;4;;;
56000325;56000001;CA;153;FP;166;CU;218;100;;175144;2016;2016;4;;;
56000331;56000001;EA;156;FP;166;-1;-1;;;175144;2016;2016;4;;;
56000337;56000001;PC;160;MP;167;-1;-1;;;175144;2016;2016;4;;;
58000354;58000001;FU;157;MP;167;PA;221;100;Sabana;143421;2016;2016;4;;;
60000354;60000001;CA;153;FP;166;HE;219;100;Sin observaciones;194713;2016;2016;4;;;
60000360;60000001;EA;156;FP;166;-1;;;Sin observaciones;194713;2016;2016;4;;;
61000370;61000001;SP;162;FP;166;BT;216;60;;120744;2016;2016;4;;;
61000376;61000001;-1;-1;-1;-1;RA;223;40;;120744;2016;2016;4;;;
62000358;62000001;CN;155;MP;167;BT;216;100;Sin observaciones;167113;2016;2016;4;;;
62000364;62000001;EA;156;MP;167;-1;;;Sin observaciones;167113;2016;2016;4;;;
63000357;63000001;CN;155;FP;166;RA;223;100;Sin observaciones;164741;2016;2016;4;;;
64000335;64000001;CN;155;FP;166;BT;216;60;;115923;2016;2016;4;;;
64000341;64000001;-1;-1;-1;-1;RA;223;40;;115923;2016;2016;4;;;
65000350;65000001;CN;155;MP;167;PN;222;100;Caño;124431;2016;2016;4;;;
66000326;66000001;CA;153;MP;167;RA;223;80;Sin observaciones;150032;2016;2016;4;;;
66000332;66000001;FU;157;MP;167;PA;221;20;Sin observaciones;150032;2016;2016;4;;;
66000338;66000001;EA;156;MP;167;-1;;;Sin observaciones;150032;2016;2016;4;;;
68000278;68000001;CA;153;FP;166;RA;223;100;;193331;2016;2016;4;;;
69000343;69000001;CN;155;MP;167;BT;216;100;;180312;2016;2016;4;;;
69000349;69000001;CA;153;MP;167;-1;;;;180312;2016;2016;4;;;
70000301;70000001;CN;155;MP;167;BT;216;100;Sin observaciones;170034;2016;2016;4;;;
71000400;71000001;CA;153;FP;166;PA;221;90;Sabana;115514;2016;2016;4;;;
71000406;71000001;PC;160;FP;166;CU;218;10;;115514;2016;2016;4;;;
72000337;72000001;SP;162;NP;168;BT;216;100;;173513;2016;2016;4;;;
73000354;73000001;HV;158;MP;167;PA;221;95;sabana;147923;2016;2016;4;;;
73000360;73000001;-1;-1;-1;-1;AB;214;4;saladillo;147923;2016;2016;4;;;
74000392;74000001;CN;155;MP;167;BT;216;100;;140722;2016;2016;4;;;
74000398;74000001;CA;153;MP;167;-1;-1;;;140722;2016;2016;4;;;
74000404;74000001;EA;156;MP;167;-1;-1;;;140722;2016;2016;4;;;
74000410;74000001;CL;154;MP;167;-1;-1;;;140722;2016;2016;4;;;
75000383;75000001;CN;155;MP;167;BT;216;80;;167414;2016;2016;4;;;
75000389;75000001;CA;153;MP;167;RA;223;20;;167414;2016;2016;4;;;
76000236;76000001;SP;162;NP;168;BT;216;100;no;047113;2016;2016;4;;;
77000394;77000001;PA;159;MP;167;AB;214;40;;157622;2016;2016;4;;;
77000400;77000001;-1;-1;-1;-1;MA;220;40;;157622;2016;2016;4;;;
77000406;77000001;-1;-1;-1;-1;AR;215;20;;157622;2016;2016;4;;;
78000321;78000001;CN;155;FP;166;HE;219;40;no;117243;2016;2016;4;;;
78000327;78000001;-1;-1;-1;-1;RA;223;30;La perturbación de la parcela y el tipo de cobertura son campos que deben estar separados porque el número de perturbaciones no tiene relación con el número de coberturas.;117243;2016;2016;4;;;
78000333;78000001;-1;-1;-1;-1;BT;216;30;La perturbación de la parcela y el tipo de cobertura son campos que deben estar separados porque el número de perturbaciones no tiene relación con el número de coberturas.;117243;2016;2016;4;;;
79000310;79000001;SP;162;FP;166;CA;;100;caño;151632;2016;2016;4;;;
80000336;80000001;EA;156;FP;166;CU;218;100;Cafetal;114032;2016;2016;4;;;
81000319;81000001;CN;155;FP;166;BT;216;50;;149714;2016;2016;4;;;
81000325;81000001;-1;;-1;;RA;223;50;;149714;2016;2016;4;;;
83000312;83000001;EA;156;FP;166;RA;223;100;sin observaciones;189921;2016;2016;4;;;
83000318;83000001;PE;161;FP;166;-1;;;sin observaciones;189921;2016;2016;4;;;
84000450;84000001;CA;153;FP;166;PA;221;100;;100441;2016;2016;4;;;
85000324;85000001;VI;163;MP;167;RA;223;80;;170313;2016;2016;4;;;
85000330;85000001;CA;153;MP;167;-1;;;;170313;2016;2016;4;;;
86000274;86000001;SP;162;-1;;BT;216;100;;170131;2016;2016;4;;;
87000316;87000001;CA;153;FP;166;BT;216;100;;178931;2016;2016;4;;;
87000322;87000001;FU;157;MP;167;-1;;;;178931;2016;2016;4;;;
89000210;89000001;VI;163;MP;167;MA;220;80;no;051521;2016;2016;4;;;
89000216;89000001;PC;160;MP;167;CU;218;20;no;051521;2016;2016;4;;;
90000316;90000001;CA;153;FP;166;BT;216;100;;153324;2016;2016;4;;;
91000336;91000001;CN;155;MP;167;BT;216;95;;152814;2016;2016;4;;;
91000342;91000001;-1;;-1;;RA;223;5;;152814;2016;2016;4;;;
92000341;92000001;CA;153;FP;166;PA;221;60;;153244;2016;2016;4;;;
92000347;92000001;-1;;-1;;RA;223;40;;153244;2016;2016;4;;;
93000243;93000001;CA;153;FP;166;BI;217;100;no;051433;2016;2016;4;;;
94000382;94000001;CN;155;MP;167;AB;214;60;;166712;2016;2016;4;;;
94000388;94000001;-1;;-1;;BI;217;40;;166712;2016;2016;4;;;
94000394;94000001;-1;;-1;;PN;222;35;;166712;2016;2016;4;;;
95000328;95000001;PA;159;FP;166;PA;221;97;;156932;2016;2016;4;;;
96000276;96000001;PA;159;FP;166;CU;218;100;;109521;2016;2016;4;;;
96000282;96000001;CA;153;FP;166;-1;-1;;;109521;2016;2016;4;;;
96000288;96000001;PC;160;MP;167;-1;-1;;;109521;2016;2016;4;;;
97000221;97000001;SP;162;NP;168;BI;217;100;no;139332;2016;2016;4;;;
98000359;98000001;CA;153;FP;166;BT;216;70;;172844;2016;2016;4;;;
98000365;98000001;CN;155;NP;168;RA;223;30;;172844;2016;2016;4;;;
98000371;98000001;FU;157;NP;168;-1;-1;;;172844;2016;2016;4;;;
