f3_spf4_perturbaciones_cobertura_id_;conglomerado_id_;f3_spf4_perturbaciones_cobertura_tipo_perturbacion;f3_spf4_perturbaciones_cobertura_tipo_perturbacion_code_id_;f3_spf4_perturbaciones_cobertura_severidad_perturbacion;f3_spf4_perturbaciones_cobertura_severidad_perturbacion_code_id;f3_spf4_perturbaciones_cobertura_tipo_cobertura;f3_spf4_perturbaciones_cobertura_tipo_cobertura_code_id_;f3_spf4_perturbaciones_cobertura_porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
1000408;1000001;EA;156;NP;168;AB;214;25;;038824;2016;2016;4;;;
1000414;1000001;PA;159;NP;168;HE;219;15;;038824;2016;2016;4;;;
1000420;1000001;PC;160;NP;168;MA;220;25;;038824;2016;2016;4;;;
1000426;1000001;-1;-1;-1;-1;PA;221;5;;038824;2016;2016;4;;;
1000432;1000001;-1;-1;-1;-1;RA;223;30;;038824;2016;2016;4;;;
4000336;4000001;SP;162;NP;168;BT;216;100;Sin Observacion;046143;2016;2016;4;;;
6000403;6000001;CA;153;FP;166;AB;214;5;;047744;2016;2016;4;;;
6000409;6000001;CN;155;MP;167;CU;218;30;;047744;2016;2016;4;;;
6000415;6000001;EA;156;FP;166;HE;219;20;;047744;2016;2016;4;;;
6000421;6000001;PA;159;MP;167;MA;220;10;;047744;2016;2016;4;;;
6000427;6000001;PC;160;FP;166;PA;221;25;;047744;2016;2016;4;;;
6000433;6000001;VI;163;MP;167;RA;223;10;;047744;2016;2016;4;;;
7000424;7000001;CA;153;FP;166;AB;214;30;;052014;2016;2016;4;;;
7000430;7000001;CN;155;MP;167;HE;219;10;;052014;2016;2016;4;;;
7000436;7000001;EA;156;FP;166;MA;220;15;;052014;2016;2016;4;;;
7000442;7000001;PC;160;MP;167;RA;223;45;;052014;2016;2016;4;;;
