f5_coleccion_botanica_id_;conglomerado_id_;codigo_subparcela;tipo_individuo;f5_coleccion_botanica_no_id;nombre_comun;familia_taxonomica;no_familia_en_lista;genero_taxonomico;no_genero_en_lista;especie_taxonomica;no_especie_en_lista;observaciones_individuo;numero_colector;colectada;codigo_parcela;anio_ejecucion;anioVigencia;ID_PPERMANENTE_SEQ;ID_BRIG_CONG
3004507;3000001;1;l;52;carbonero, restiojo;salicaceae;;-1;Ryania;-1;;Hojas pequeñas, aternas, simples. el genero taxonómico de la especie no se encuentra incluido en la lista.;HG 0021;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3004540;3000001;3;b;53;hormigo;melastomataceae;;miconia;;-1;sp4;La especie presenta 5individuos, los cuales serán registrados con los números del 53-57, por lo tanto solo se realizará una colecta. Tienen una altura promedio de 65cm;HG 0022;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3004573;3000001;3;b;54;hormigo;melastomataceae;;miconia;;-1;sp4;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3004606;3000001;3;b;55;hormigo;melastomataceae;;miconia;;-1;sp4;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3004639;3000001;3;b;56;hormigo;melastomataceae;;miconia;;-1;sp4;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3004672;3000001;3;b;57;hormigo;melastomataceae;;miconia;;-1;sp4;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3004705;3000001;3;b;58;cauchillo;moraceae;;brosimum;;-1;;con exudado blanco lechoso y pegajoso;HG 0023;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3004738;3000001;3;b;59;guamo;rubiaceae;;-1;;-1;;La especie presenta 2 individuos, los cuales serán registrados con los números del 59-60, por lo tanto solo se realizará una colecta. Tienen una altura promedio de 75cm;HG 0024;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
3004771;3000001;3;b;60;guamo;rubiaceae;;-1;;-1;;Especie anteriormente colectada;.;N;135133;${anio_ejecucion};2016; 4.0; 5.0
3004804;3000001;3;b;61;aserrín;fabaceae;;pentaclethra;;-1;;no;HG 0025;Y;135133;${anio_ejecucion};2016; 4.0; 5.0
