f3_spf1_perturbaciones_cobertura_id_;tipo_perturbacion;tipo_perturbacion_code_id_;severidad_perturbacion;severidad_perturbacion_code_id_;tipo_cobertura;tipo_cobertura_code_id_;porcentaje;observacion;codigo_conglomerado;anio_ejecucion;anioVigencia;codigo_subparcela;ID_CONGLOMERADO_SEQ;ID_BRIG_CONG;ID_SUBPARCELA
39000252;CL;154;MP;167;HE;219;20;;095821;2016;2016;1;;;
39000258;CN;155;MP;167;MA;220;40;;095821;2016;2016;1;;;
39000264;EA;156;FP;166;RA;223;10;;095821;2016;2016;1;;;
39000270;PA;159;MP;167;-1;-1;;;095821;2016;2016;1;;;
39000276;PC;160;MP;167;-1;-1;;;095821;2016;2016;1;;;
39000282;VI;163;MP;167;-1;-1;;;095821;2016;2016;1;;;
39000288;FU;157;MP;167;-1;-1;;;095821;2016;2016;1;;;
40000246;CN;155;MP;167;PA;221;50;Sabana;088112;2016;2016;1;;;
40000252;-1;-1;-1;-1;BT;216;50;;088112;2016;2016;1;;;
41000225;CA;153;FP;166;AB;214;20;Sin observaciones;180414;2016;2016;1;;;
41000231;PA;159;FP;166;BT;216;70;Sin observaciones;180414;2016;2016;1;;;
41000237;PC;160;MP;167;RA;223;10;Sin observaciones;180414;2016;2016;1;;;
42000246;CN;155;FP;166;PA;221;90;Sabana;096911;2016;2016;1;;;
42000252;-1;-1;-1;-1;HE;219;10;;096911;2016;2016;1;;;
43000239;CA;153;MP;167;BT;216;80;Sin observaciones;185244;2016;2016;1;;;
43000245;-1;;-1;;MA;220;20;Sin observaciones;185244;2016;2016;1;;;
44000235;CA;153;FP;166;HE;219;15;;057023;2016;2016;1;;;
44000241;CL;154;FP;166;PA;221;85;;057023;2016;2016;1;;;
44000247;EA;156;FP;166;-1;-1;;;057023;2016;2016;1;;;
44000253;PA;159;FP;166;-1;-1;;;057023;2016;2016;1;;;
44000259;PC;160;FP;166;-1;-1;;;057023;2016;2016;1;;;
44000265;VI;163;FP;166;-1;-1;;;057023;2016;2016;1;;;
45000127;CA;153;FP;166;HE;219;10;no;071511;2016;2016;1;;;
45000133;VI;163;FP;166;PA;221;90;no;071511;2016;2016;1;;;
46000222;CA;153;FP;166;AB;214;5;;061922;2016;2016;1;;;
46000228;CL;154;MP;167;CU;218;5;;061922;2016;2016;1;;;
46000234;EA;156;FP;166;HE;219;10;;061922;2016;2016;1;;;
46000240;FU;157;MP;167;MA;220;60;;061922;2016;2016;1;;;
46000246;PA;159;MP;167;PA;221;20;;061922;2016;2016;1;;;
46000252;PC;160;MP;167;-1;-1;;;061922;2016;2016;1;;;
46000258;PE;161;MP;167;-1;-1;;;061922;2016;2016;1;;;
46000264;VI;163;MP;167;-1;-1;;;061922;2016;2016;1;;;
47000235;CA;153;MP;167;AB;214;15;;056941;2016;2016;1;;;
47000241;CL;154;MP;167;BT;216;40;;056941;2016;2016;1;;;
47000247;CN;155;MP;167;HE;219;15;;056941;2016;2016;1;;;
47000253;EA;156;MP;167;RA;223;30;;056941;2016;2016;1;;;
47000259;VI;163;MP;167;-1;-1;;;056941;2016;2016;1;;;
48000132;SP;162;NP;168;BT;216;100;no;139512;2016;2016;1;;;
49000198;CA;153;MP;167;AB;214;30;Sin observaciones;192833;2016;2016;1;;;
49000204;CN;155;MP;167;RA;223;40;Sin observaciones;192833;2016;2016;1;;;
49000210;-1;;-1;;PA;221;10;Hay un 20% de la subparcela cubierta de suelo desnudo;192833;2016;2016;1;;;
50000239;SP;162;NP;168;BT;216;100;;163832;2016;2016;1;;;
51000213;SP;162;NP;168;BT;216;100;;053512;2016;2016;1;;;
52000235;SP;162;NP;168;VA;;50;;053621;2016;2016;1;;;
52000241;-1;-1;-1;-1;BI;217;50;;053621;2016;2016;1;;;
53000224;CN;155;MP;167;BT;216;100;;049214;2016;2016;1;;;
54000327;CA;153;MP;167;BT;216;90;NA;105221;2016;2016;1;;;
54000333;EA;156;MP;167;AB;214;10;NA;105221;2016;2016;1;;;
55000338;CA;153;NP;168;MA;220;30;Si bien no se evidencio perturbación reciente, el tipo de cobertura y el estado sucesional secundario del bosque señala la intervención;109842;2016;2016;1;;;
56000225;CA;153;FP;166;CU;218;100;;175144;2016;2016;1;;;
56000231;EA;156;FP;166;-1;;;;175144;2016;2016;1;;;
56000237;PC;160;MP;167;-1;;;;175144;2016;2016;1;;;
58000246;SP;162;FP;166;PA;221;100;Palma;143421;2016;2016;1;;;
60000246;CA;153;FP;166;RA;223;100;Sin observaciones;194713;2016;2016;1;;;
60000252;EA;156;FP;166;-1;;;Sin observaciones;194713;2016;2016;1;;;
61000268;SP;162;FP;166;BT;216;80;;120744;2016;2016;1;;;
61000274;-1;-1;-1;-1;RA;223;20;;120744;2016;2016;1;;;
62000262;CN;155;MP;167;BT;216;100;Sin observaciones;167113;2016;2016;1;;;
62000268;EA;156;MP;167;-1;;;Sinobservaciones;167113;2016;2016;1;;;
63000257;CN;155;FP;166;RA;223;20;sin observaciones;164741;2016;2016;1;;;
63000263;-1;;-1;;BT;216;80;sin observaciones;164741;2016;2016;1;;;
64000239;SP;162;FP;166;PA;221;100;Sabana;115923;2016;2016;1;;;
65000272;CL;154;MP;167;RA;223;30;;124431;2016;2016;1;;;
65000278;CN;155;MP;167;BI;217;70;;124431;2016;2016;1;;;
66000224;CA;153;NP;168;BT;216;100;Sin observaciones;150032;2016;2016;1;;;
66000230;CN;155;NP;168;-1;;;;150032;2016;2016;1;;;
68000204;CA;153;FP;166;CU;218;100;;193331;2016;2016;1;;;
69000235;CN;155;MP;167;BT;216;100;;180312;2016;2016;1;;;
69000241;CA;153;NP;168;-1;;;;180312;2016;2016;1;;;
70000235;CN;155;MP;167;BT;216;100;Sin observaciones;170034;2016;2016;1;;;
71000268;CA;153;FP;166;PA;221;60;Sabana;115514;2016;2016;1;;;
71000274;PC;160;FP;166;RA;223;10;;115514;2016;2016;1;;;
71000280;-1;-1;-1;-1;BT;216;20;;115514;2016;2016;1;;;
71000286;-1;-1;-1;-1;CU;218;10;;115514;2016;2016;1;;;
72000217;EA;156;NP;168;BT;216;100;;173513;2016;2016;1;;;
72000223;-1;;-1;;-1;;;;173513;2016;2016;1;;;
72000229;-1;;-1;;-1;;;;173513;2016;2016;1;;;
73000246;HV;158;MP;167;PA;221;95;sabana;147923;2016;2016;1;;;
73000252;-1;-1;-1;-1;AB;214;5;saladilla;147923;2016;2016;1;;;
74000272;CN;155;MP;167;BT;216;100;;140722;2016;2016;1;;;
74000278;EA;156;MP;167;-1;-1;;;140722;2016;2016;1;;;
75000257;CA;153;MP;167;BT;216;80;;167414;2016;2016;1;;;
75000263;CN;155;MP;167;RA;223;20;;167414;2016;2016;1;;;
75000269;EA;156;MP;167;-1;;;;167414;2016;2016;1;;;
76000162;SP;162;NP;168;BT;216;100;n0;047113;2016;2016;1;;;
77000268;PA;159;MP;167;MA;220;40;;157622;2016;2016;1;;;
77000274;-1;-1;-1;-1;AR;215;40;;157622;2016;2016;1;;;
77000280;-1;-1;-1;-1;AB;214;20;;157622;2016;2016;1;;;
78000235;CN;155;NP;168;BT;216;90;no;117243;2016;2016;1;;;
78000241;-1;-1;-1;-1;HE;219;10;La perturbación de la parcela y el tipo de cobertura son campos que deben estar separados porque el número de perturbaciones no tiene relación con el número de coberturas.;117243;2016;2016;1;;;
79000268;SP;162;FP;166;BI;217;100;;151632;2016;2016;1;;;
80000246;EA;156;FP;166;CU;218;100;Cafetal;114032;2016;2016;1;;;
81000217;CA;153;FP;166;RA;223;100;;149714;2016;2016;1;;;
82000148;SP;162;FP;166;AR;215;80;Zonas de afloramiento rocoso con niveles de pendiente de 45 grados;109414;2016;2016;1;;;
83000220;CA;153;FP;166;RA;223;100;SIN OBSERVACIONES;189921;2016;2016;1;;;
83000226;PA;159;MP;167;-1;;;SIN OBSERVACIONES;189921;2016;2016;1;;;
84000360;SP;162;NP;168;BT;216;100;Bosque de galeria;100441;2016;2016;1;;;
85000228;VI;163;FP;166;RA;223;100;;170313;2016;2016;1;;;
86000224;CA;153;MP;167;BT;216;100;;170131;2016;2016;1;;;
87000220;CA;153;FP;166;CU;218;60;;178931;2016;2016;1;;;
87000226;-1;;-1;;-1;;;;178931;2016;2016;1;;;
89000164;PC;160;MP;167;CU;218;100;no;051521;2016;2016;1;;;
89000170;CA;153;FP;166;-1;-1;0;La perturbación de la parcela y el tipo de cobertura son campos que deben estar separados porque el número de perturbaciones no tiene relación con el número de coberturas.;051521;2016;2016;1;;;
90000220;PA;159;FP;166;PA;221;100;;153324;2016;2016;1;;;
91000246;SP;162;NP;168;BT;216;100;;152814;2016;2016;1;;;
92000239;PA;159;FP;166;PA;221;80;;153244;2016;2016;1;;;
92000245;PA;159;FP;166;AB;214;20;;153244;2016;2016;1;;;
93000171;CA;153;FP;166;BI;217;100;no;051433;2016;2016;1;;;
93000177;EA;156;FP;166;-1;-1;0;La perturbación de la parcela y el tipo de cobertura son campos que deben estar separados porque el número de perturbaciones no tiene relación con el número de coberturas.;051433;2016;2016;1;;;
94000268;PC;160;MP;167;BT;216;50;;166712;2016;2016;1;;;
94000274;CN;155;MP;167;MA;220;50;;166712;2016;2016;1;;;
95000220;PA;159;FP;166;PA;221;100;;156932;2016;2016;1;;;
96000180;PA;159;MP;167;CU;218;100;;109521;2016;2016;1;;;
96000186;PC;160;MP;167;-1;-1;;;109521;2016;2016;1;;;
97000179;SP;162;NP;168;BI;217;100;no;139332;2016;2016;1;;;
98000239;EA;156;MP;167;BT;216;100;;172844;2016;2016;1;;;
98000245;PC;160;MP;167;-1;;;;172844;2016;2016;1;;;
